Name;Code;TimeFrom;TimeTo;Weight
1A;101;0;25;3
1B;102;25;55;3
2A;103;0;8;2
2B;104;8;30;2
2C;105;30;55;2
3A;106;0;27;3
3B;107;27;55;3
4A;108;0;2;3
4B;109;2;41;3
4C;110;41;55;3
5A;111;0;4;3
5B;112;4;11;3
5C;113;11;55;3
6A;114;0;19;1
6B;115;19;31;1
6C;116;31;55;1
7A;117;0;24;1
7B;118;24;32;1
7C;119;32;55;1
8A;120;0;26;2
8B;121;26;34;2
8C;122;34;55;2
9A;123;0;15;3
9B;124;15;17;3
9C;125;17;55;3
10A;126;0;16;2
10B;127;16;28;2
10C;128;28;55;2
11A;129;0;19;1
11B;130;19;26;1
11C;131;26;55;1
12A;132;0;4;1
12B;133;4;16;1
12C;134;16;55;1
13A;135;0;15;1
13B;136;15;34;1
13C;137;34;55;1
14A;138;0;15;2
14B;139;15;21;2
14C;140;21;55;2
15A;141;0;13;3
15B;142;13;20;3
15C;143;20;55;3
16A;144;0;15;1
16B;145;15;30;1
16C;146;30;55;1
17A;147;0;8;2
17B;148;8;22;2
17C;149;22;55;2
18A;150;0;5;1
18B;151;5;24;1
18C;152;24;55;1
19A;153;0;2;2
19B;154;2;13;2
19C;155;13;55;2
20A;156;0;10;3
20B;157;10;18;3
20C;158;18;55;3
21A;100;0;55;3
